proteinID,geneID
EFGM_HUMAN,GFM1
ERGI2_HUMAN,ERGIC2
MCCA_HUMAN,MCCC1
OXLA_HUMAN,IL4I1
PEO1_HUMAN,TWNK
KKCC2_HUMAN,CAMKK2
TGS1_HUMAN,TGS1
NUDC1_HUMAN,NUDCD1
ERBIN_HUMAN,ERBIN
GCP6_HUMAN,TUBGCP6
GCP5_HUMAN,TUBGCP5
UBP28_HUMAN,USP28
FNBP1_HUMAN,FNBP1
TRIB3_HUMAN,TRIB3
TRIB1_HUMAN,TRIB1
HMCN1_HUMAN,HMCN1
IF140_HUMAN,IFT140
LMF1_HUMAN,LMF1
WDR24_HUMAN,WDR24
JMJD8_HUMAN,JMJD8
RB40C_HUMAN,RAB40C
S22AC_HUMAN,SLC22A12
KS6C1_HUMAN,RPS6KC1
NODAL_HUMAN,NODAL
PRPK_HUMAN,TP53RK
PIGS_HUMAN,PIGS
TESK2_HUMAN,TESK2
WRIP1_HUMAN,WRNIP1
RANB9_HUMAN,RANBP9
CSRN1_HUMAN,CSRNP1
CLCC1_HUMAN,CLCC1
CCNL2_HUMAN,CCNL2
MYADM_HUMAN,MYADM
PKHF1_HUMAN,PLEKHF1
NEB2_HUMAN,PPP1R9B
SRPK1_HUMAN,SRPK1
SMC6_HUMAN,SMC6
DCR1C_HUMAN,DCLRE1C
TBX15_HUMAN,TBX15
KCD15_HUMAN,KCTD15
STRBP_HUMAN,STRBP
DIRC2_HUMAN,SLC49A4
GPX7_HUMAN,GPX7
CK5P2_HUMAN,CDK5RAP2
ZN587_HUMAN,ZNF587
ATOH8_HUMAN,ATOH8
CP2S1_HUMAN,CYP2S1
IWS1_HUMAN,IWS1
SIN3A_HUMAN,SIN3A
CEP89_HUMAN,CEP89
OSBL9_HUMAN,OSBPL9
CRBN_HUMAN,CRBN
ZSC10_HUMAN,ZSCAN10
AEDO_HUMAN,ADO
CK5P1_HUMAN,CDK5RAP1
SEBP2_HUMAN,SECISBP2
RSF1_HUMAN,RSF1
RBM15_HUMAN,RBM15
PP16B_HUMAN,PPP1R16B
RUFY1_HUMAN,RUFY1
IMP2L_HUMAN,IMMP2L
MBOA4_HUMAN,MBOAT4
KCNKH_HUMAN,KCNK17
KCNKG_HUMAN,KCNK16
MINT_HUMAN,SPEN
PNKP_HUMAN,PNKP
NMNA3_HUMAN,NMNAT3
SETB2_HUMAN,SETDB2
MMS19_HUMAN,MMS19
SL9A7_HUMAN,SLC9A7
UHRF1_HUMAN,UHRF1
GPHA2_HUMAN,GPHA2
NIBA2_HUMAN,NIBAN2
YMEL1_HUMAN,YME1L1
RMD3_HUMAN,RMDN3
CSF3R_HUMAN,CSF3R
HBEGF_HUMAN,HBEGF
HTF4_HUMAN,TCF12
MUC4_HUMAN,MUC4
AMELX_HUMAN,AMELX
SCN2A_HUMAN,SCN2A
DCE1_HUMAN,GAD1
MYCBP_HUMAN,MYCBP
CYH2_HUMAN,CYTH2
ACOX2_HUMAN,ACOX2
TBCB_HUMAN,TBCB
NELL2_HUMAN,NELL2
PSB7_HUMAN,PSMB7
VATO_HUMAN,ATP6V0B
CNN2_HUMAN,CNN2
PCY2_HUMAN,PCYT2
PHX2B_HUMAN,PHOX2B
K1C12_HUMAN,KRT12
CDC5L_HUMAN,CDC5L
PSMD1_HUMAN,PSMD1
NOTC4_HUMAN,NOTCH4
CD180_HUMAN,CD180
STAC_HUMAN,STAC
PFD5_HUMAN,PFDN5
PAFA2_HUMAN,PAFAH2
OXDD_HUMAN,DDO
AGAP2_HUMAN,AGAP2
RING2_HUMAN,RNF2
PARK7_HUMAN,PARK7
S1PR3_HUMAN,S1PR3
GA2L1_HUMAN,GAS2L1
EYA1_HUMAN,EYA1
EYA3_HUMAN,EYA3
FMO2_HUMAN,FMO2
NEUR1_HUMAN,NEU1
SORT_HUMAN,SORT1
GPER1_HUMAN,GPER1
VAT1_HUMAN,VAT1
LGMN_HUMAN,LGMN
PLIN2_HUMAN,PLIN2
MMP19_HUMAN,MMP19
DNJC2_HUMAN,DNAJC2
MPH6_HUMAN,MPHOSPH6
MPP8_HUMAN,MPHOSPH8
MPP9_HUMAN,MPHOSPH9
MTEF1_HUMAN,MTERF1
M3K14_HUMAN,MAP3K14
NUP88_HUMAN,NUP88
PKP4_HUMAN,PKP4
PI3R4_HUMAN,PIK3R4
P2RX4_HUMAN,P2RX4
P2RX7_HUMAN,P2RX7
NEUS_HUMAN,SERPINI1
POP1_HUMAN,POP1
T22D3_HUMAN,TSC22D3
RIT2_HUMAN,RIT2
FEV_HUMAN,FEV
MNT_HUMAN,MNT
S10AD_HUMAN,S100A13
SCAFB_HUMAN,SCAF11
ZBT18_HUMAN,ZBTB18
TBX5_HUMAN,TBX5
TEAD3_HUMAN,TEAD3
TI17A_HUMAN,TIMM17A
TSNAX_HUMAN,TSNAX
ELF4_HUMAN,ELF4
NECD_HUMAN,NDN
SPS2_HUMAN,SEPHS2
KLF6_HUMAN,KLF6
EIF3C_HUMAN,EIF3C
DNJC7_HUMAN,DNAJC7
CCL13_HUMAN,CCL13
SPSB2_HUMAN,SPSB2
C10_HUMAN,C12orf57
PHB2_HUMAN,PHB2
S38A3_HUMAN,SLC38A3
CDX2_HUMAN,CDX2
CSN8_HUMAN,COPS8
PRP18_HUMAN,PRPF18
RAD9A_HUMAN,RAD9A
PMYT1_HUMAN,PKMYT1
C560_HUMAN,SDHC
EPYC_HUMAN,EPYC
OSMR_HUMAN,OSMR
CHP1_HUMAN,CHP1
KIF2C_HUMAN,KIF2C
I12R2_HUMAN,IL12RB2
CGRE1_HUMAN,CGREF1
CGRF1_HUMAN,CGRRF1
LPAR4_HUMAN,LPAR4
GPR20_HUMAN,GPR20
M3K5_HUMAN,MAP3K5
GFI1_HUMAN,GFI1
MGLL_HUMAN,MGLL
MEIS3_HUMAN,MEIS3
FEZ1_HUMAN,FEZ1
PITX2_HUMAN,PITX2
LYST_HUMAN,LYST
ATX2_HUMAN,ATXN2
DOK1_HUMAN,DOK1
MCHR1_HUMAN,MCHR1
KI2L4_HUMAN,KIR2DL4
METH_HUMAN,MTR
CTIP_HUMAN,RBBP8
KCJ15_HUMAN,KCNJ15
HCD2_HUMAN,HSD17B10
COCA1_HUMAN,COL12A1
SMAD5_HUMAN,SMAD5
SEPT5_HUMAN,SEPTIN5
SGMR1_HUMAN,SIGMAR1
ZNT3_HUMAN,SLC30A3
TIMP4_HUMAN,TIMP4
BARD1_HUMAN,BARD1
ROAA_HUMAN,HNRNPAB
CCL19_HUMAN,CCL19
LITAF_HUMAN,LITAF
NP1L4_HUMAN,NAP1L4
MGST2_HUMAN,MGST2
CDC6_HUMAN,CDC6
NPAS2_HUMAN,NPAS2
SNAG_HUMAN,NAPG
NRTN_HUMAN,NRTN
MDFI_HUMAN,MDFI
PI51A_HUMAN,PIP5K1A
THIOM_HUMAN,TXN2
ABCA3_HUMAN,ABCA3
M3K3_HUMAN,MAP3K3
ATP5S_HUMAN,DMAC2L
APBA2_HUMAN,APBA2
NOE1_HUMAN,OLFM1
CML1_HUMAN,CMKLR1
GPA33_HUMAN,GPA33
MIPEP_HUMAN,MIPEP
ACON_HUMAN,ACO2
NKX31_HUMAN,NKX3
COQ7_HUMAN,COQ7
S29A1_HUMAN,SLC29A1
EPAS1_HUMAN,EPAS1
TS101_HUMAN,TSG101
CIB1_HUMAN,CIB1
CPNE1_HUMAN,CPNE1
TCPH_HUMAN,CCT7
SMO_HUMAN,SMO
MYD88_HUMAN,MYD88
EBP2_HUMAN,EBNA1BP2
FOXB1_HUMAN,FOXB1
ARI3A_HUMAN,ARID3A
HAUS7_HUMAN,HAUS7
ANM1_HUMAN,PRMT1
H2B1N_HUMAN,H2BC15
H2A1J_HUMAN,H2AC14
H2B1M_HUMAN,H2BC14
H2B1L_HUMAN,H2BC13
CTRC_HUMAN,CTRC
SSX3_HUMAN,SSX3
GBRG3_HUMAN,GABRG3
ASCL2_HUMAN,ASCL2
SPAG8_HUMAN,SPAG8
BAG1_HUMAN,BAG1
PROL1_HUMAN,OPRPN
ATF6B_HUMAN,ATF6B
RNF5_HUMAN,RNF5
PLCA_HUMAN,AGPAT1
EGFL8_HUMAN,EGFL8
PRRT1_HUMAN,PRRT1
PTN18_HUMAN,PTPN18
DUS9_HUMAN,DUSP9
FOXC2_HUMAN,FOXC2
PKP2_HUMAN,PKP2
SH3G1_HUMAN,SH3GL1
SH3G2_HUMAN,SH3GL2
SH3G3_HUMAN,SH3GL3
ADAM2_HUMAN,ADAM2
CITE1_HUMAN,CITED1
CITE2_HUMAN,CITED2
RARR2_HUMAN,RARRES2
MYOC_HUMAN,MYOC
TEP1_HUMAN,TEP1
OMD_HUMAN,OMD
SEM3C_HUMAN,SEMA3C
VRK1_HUMAN,VRK1
GDF15_HUMAN,GDF15
VGLL1_HUMAN,VGLL1
AKAP9_HUMAN,AKAP9
G3ST1_HUMAN,GAL3ST1
DPYL5_HUMAN,DPYSL5
B9D2_HUMAN,B9D2
P2Y13_HUMAN,P2RY13
DHRS9_HUMAN,DHRS9
DHB14_HUMAN,HSD17B14
CND3_HUMAN,NCAPG
MICU1_HUMAN,MICU1
HOP_HUMAN,HOPX
SPI2B_HUMAN,SPIN2B
PAIP2_HUMAN,PAIP2
SIN1_HUMAN,MAPKAP1
RBM4B_HUMAN,RBM4B
SOSB1_HUMAN,NABP2
TICN3_HUMAN,SPOCK3
ZFY21_HUMAN,ZFYVE21
KCNS3_HUMAN,KCNS3
DDX50_HUMAN,DDX50
TREX2_HUMAN,TREX2
PD1L2_HUMAN,PDCD1LG2
RNZ2_HUMAN,ELAC2
TRIR_HUMAN,TRIR
USB1_HUMAN,USB1
KR412_HUMAN,KRTAP4
GRWD1_HUMAN,GRWD1
MACD1_HUMAN,MACROD1
TCF25_HUMAN,TCF25
SLX1_HUMAN,SLX1A
TBL1Y_HUMAN,TBL1Y
F110A_HUMAN,FAM110A
KLDC3_HUMAN,KLHDC3
ECSIT_HUMAN,ECSIT
MEP50_HUMAN,WDR77
HINFP_HUMAN,HINFP
CYBC1_HUMAN,CYBC1
SOST_HUMAN,SOST
VKOR1_HUMAN,VKORC1
DPH2_HUMAN,DPH2
KXDL1_HUMAN,KXD1
ANKMT_HUMAN,ANTKMT
TBA1C_HUMAN,TUBA1C
SELS_HUMAN,SELENOS
APOL2_HUMAN,APOL2
BCL7B_HUMAN,BCL7B
SENP7_HUMAN,SENP7
MBB1A_HUMAN,MYBBP1A
SYT3_HUMAN,SYT3
NUD12_HUMAN,NUDT12
AIF1L_HUMAN,AIF1L
E2AK1_HUMAN,EIF2AK1
CCDC3_HUMAN,CCDC3
SGIP1_HUMAN,SGIP1
SLF1_HUMAN,SLF1
TMM47_HUMAN,TMEM47
LPIN3_HUMAN,LPIN3
FERM1_HUMAN,FERMT1
MGME1_HUMAN,MGME1
GORS1_HUMAN,GORASP1
SYT15_HUMAN,SYT15
HEPH_HUMAN,HEPH
FYCO1_HUMAN,FYCO1
ODC_HUMAN,SLC25A21
CSTN3_HUMAN,CLSTN3
RHXF2_HUMAN,RHOXF2
ST4A1_HUMAN,SULT4A1
JPH2_HUMAN,JPH2
COR1B_HUMAN,CORO1B
LSMD1_HUMAN,NAA38
TXD17_HUMAN,TXNDC17
PIGQ_HUMAN,PIGQ
PLCD4_HUMAN,PLCD4
BUD13_HUMAN,BUD13
CPPED_HUMAN,CPPED1
VPS25_HUMAN,VPS25
SH23A_HUMAN,SH2D3A
ZNT2_HUMAN,SLC30A2
TIRR_HUMAN,NUDT16L1
MESP1_HUMAN,MESP1
REEP2_HUMAN,REEP2
MXRA8_HUMAN,MXRA8
LZTS2_HUMAN,LZTS2
CAB45_HUMAN,SDF4
SRSF8_HUMAN,SRSF8
SC22C_HUMAN,SEC22C
OVOL2_HUMAN,OVOL2
PYM1_HUMAN,PYM1
PYGO2_HUMAN,PYGO2
NUD22_HUMAN,NUDT22
MIC25_HUMAN,CHCHD6
FSP1_HUMAN,AIFM2
ZKSC3_HUMAN,ZKSCAN3
PGAP4_HUMAN,PGAP4
ADPGK_HUMAN,ADPGK
RHG09_HUMAN,ARHGAP9
RIOK1_HUMAN,RIOK1
LARP6_HUMAN,LARP6
UQCC2_HUMAN,UQCC2
MIEN1_HUMAN,MIEN1
SLD5_HUMAN,GINS4
UTP23_HUMAN,UTP23
SWET1_HUMAN,SLC50A1
SIKE1_HUMAN,SIKE1
PELO_HUMAN,PELO
PSF3_HUMAN,GINS3
PXL2A_HUMAN,PRXL2A
WDR83_HUMAN,WDR83
TRI56_HUMAN,TRIM56
CENPK_HUMAN,CENPK
ERP44_HUMAN,ERP44
ZN670_HUMAN,ZNF670
LXN_HUMAN,LXN
ZPBP1_HUMAN,ZPBP
TTYH2_HUMAN,TTYH2
TM175_HUMAN,TMEM175
ATGA1_HUMAN,ATG101
RHNO1_HUMAN,RHNO1
NTPCR_HUMAN,NTPCR
TMM79_HUMAN,TMEM79
HERP2_HUMAN,HERPUD2
SMAKA_HUMAN,C2orf88
ZNF2_HUMAN,ZNF2
TACO1_HUMAN,TACO1
TINF2_HUMAN,TINF2
GCP2_HUMAN,TUBGCP2
PIMRE_HUMAN,PIMREG
ESYT1_HUMAN,ESYT1
S2533_HUMAN,SLC25A33
FEM1A_HUMAN,FEM1A
UBAC1_HUMAN,UBAC1
PCGF1_HUMAN,PCGF1
CCM2_HUMAN,CCM2
YIPF4_HUMAN,YIPF4
RTKN_HUMAN,RTKN
PHAF1_HUMAN,PHAF1
NAA11_HUMAN,NAA11
SEN34_HUMAN,TSEN34
EFC4B_HUMAN,CRACR2A
SYT17_HUMAN,SYT17
DESI2_HUMAN,DESI2
FUZZY_HUMAN,FUZ
CNPY3_HUMAN,CNPY3
MTG1_HUMAN,MTG1
ALG1_HUMAN,ALG1
HAUS8_HUMAN,HAUS8
ALKB7_HUMAN,ALKBH7
INP5K_HUMAN,INPP5K
RPC7L_HUMAN,POLR3GL
THAP7_HUMAN,THAP7
SPXN_HUMAN,SPX
NFIP1_HUMAN,NDFIP1
CSN4_HUMAN,COPS4
SOX7_HUMAN,SOX7
SYT11_HUMAN,SYT11
TCHP_HUMAN,TCHP
WAC_HUMAN,WAC
DIDO1_HUMAN,DIDO1
MTA3_HUMAN,MTA3
TM121_HUMAN,TMEM121
MCMBP_HUMAN,MCMBP
AASD1_HUMAN,AARSD1
DCNL5_HUMAN,DCUN1D5
PAGR1_HUMAN,PAGR1
RAMAC_HUMAN,RAMAC
IER2_HUMAN,IER2
URM1_HUMAN,URM1
LRFN3_HUMAN,LRFN3
ZBED2_HUMAN,ZBED2
FAP24_HUMAN,FAAP24
AN32E_HUMAN,ANP32E
MED10_HUMAN,MED10
P4K2A_HUMAN,PI4K2A
TMM43_HUMAN,TMEM43
FSD1_HUMAN,FSD1
TBCD_HUMAN,TBCD
NDC1_HUMAN,NDC1
TM208_HUMAN,TMEM208
FUCO2_HUMAN,FUCA2
DHRS4_HUMAN,DHRS4
THTPA_HUMAN,THTPA
ZN692_HUMAN,ZNF692
LMF2_HUMAN,LMF2
CRDL1_HUMAN,CHRDL1
NDUF3_HUMAN,NDUFAF3
CENPO_HUMAN,CENPO
MMTA2_HUMAN,MMTAG2
TM243_HUMAN,TMEM243
DOHH_HUMAN,DOHH
ADAT1_HUMAN,ADAT1
MKNK1_HUMAN,MKNK1
TMM70_HUMAN,TMEM70
SPON2_HUMAN,SPON2
MED18_HUMAN,MED18
ISCA1_HUMAN,ISCA1
TBB6_HUMAN,TUBB6
CRUM3_HUMAN,CRB3
PAXX_HUMAN,PAXX
BEGIN_HUMAN,BEGAIN
RPC3_HUMAN,POLR3C
HNRL1_HUMAN,HNRNPUL1
MSTO1_HUMAN,MSTO1
PHF23_HUMAN,PHF23
PDC10_HUMAN,PDCD10
RPP25_HUMAN,RPP25
G6PC3_HUMAN,G6PC3
CC28B_HUMAN,CCDC28B
DERL1_HUMAN,DERL1
EFHD1_HUMAN,EFHD1
HTAI2_HUMAN,HTATIP2
DDX23_HUMAN,DDX23
TCAB1_HUMAN,WRAP53
MIC26_HUMAN,APOO
BDH2_HUMAN,BDH2
MET22_HUMAN,METTL22
CHAC1_HUMAN,CHAC1
ZN426_HUMAN,ZNF426
TRAF4_HUMAN,TRAF4
ALG12_HUMAN,ALG12
MTNA_HUMAN,MRI1
ABHD6_HUMAN,ABHD6
SCMC3_HUMAN,SLC25A23
MELPH_HUMAN,MLPH
WDR18_HUMAN,WDR18
VAMP8_HUMAN,VAMP8
DUS26_HUMAN,DUSP26
MTND_HUMAN,ADI1
RN126_HUMAN,RNF126
CP250_HUMAN,CEP250
MECR_HUMAN,MECR
EMC6_HUMAN,EMC6
NTM1A_HUMAN,NTMT1
SNR25_HUMAN,SNRNP25
EDEM2_HUMAN,EDEM2
KTNB1_HUMAN,KATNB1
TBB2B_HUMAN,TUBB2B
FICD_HUMAN,FICD
DCC1_HUMAN,DSCC1
LST8_HUMAN,MLST8
TM109_HUMAN,TMEM109
TRI62_HUMAN,TRIM62
KIFC3_HUMAN,KIFC3
PTSS2_HUMAN,PTDSS2
SIA7E_HUMAN,ST6GALNAC5
PHF20_HUMAN,PHF20
NOC4L_HUMAN,NOC4L
UT14A_HUMAN,UTP14A
DUS23_HUMAN,DUSP23
ALG8_HUMAN,ALG8
TMED9_HUMAN,TMED9
TM147_HUMAN,TMEM147
NUP58_HUMAN,NUP58
SELO_HUMAN,SELENOO
GGACT_HUMAN,GGACT
RUSC1_HUMAN,RUSC1
GNL3_HUMAN,GNL3
RIOK2_HUMAN,RIOK2
TR61B_HUMAN,TRMT61B
TMUB1_HUMAN,TMUB1
FND11_HUMAN,FNDC11
TALD3_HUMAN,KIAA0586
TIM21_HUMAN,TIMM21
TIPIN_HUMAN,TIPIN
T106C_HUMAN,TMEM106C
SARG_HUMAN,SARG
MAD3_HUMAN,MXD3
KIFC1_HUMAN,KIFC1
NUP85_HUMAN,NUP85
ELOV1_HUMAN,ELOVL1
DDA1_HUMAN,DDA1
KATL1_HUMAN,KATNAL1
CINP_HUMAN,CINP
HIRP3_HUMAN,HIRIP3
IFT27_HUMAN,IFT27
YJU2_HUMAN,YJU2
NUDT9_HUMAN,NUDT9
SYTM_HUMAN,TARS2
CC106_HUMAN,CCDC106
THIC_HUMAN,ACAT2
REPI1_HUMAN,REPIN1
TRAIP_HUMAN,TRAIP
RBM4_HUMAN,RBM4
SCNM1_HUMAN,SCNM1
FUND2_HUMAN,FUNDC2
RPAP1_HUMAN,RPAP1
SF3B5_HUMAN,SF3B5
CYREN_HUMAN,CYREN
CA043_HUMAN,C1orf43
PRR14_HUMAN,PRR14
COL11_HUMAN,COLEC11
YIPF2_HUMAN,YIPF2
LFG2_HUMAN,FAIM2
CHID1_HUMAN,CHID1
CDCA7_HUMAN,CDCA7
PAPOG_HUMAN,PAPOLG
CAR10_HUMAN,CARD10
CDK19_HUMAN,CDK19
BOC_HUMAN,BOC
CDAC1_HUMAN,CDADC1
TTLL2_HUMAN,TTLL2
SSBP3_HUMAN,SSBP3
SCRT1_HUMAN,SCRT1
PHF7_HUMAN,PHF7
GATA5_HUMAN,GATA5
GTPB2_HUMAN,GTPBP2
SYCP2_HUMAN,SYCP2
LS14B_HUMAN,LSM14B
RBM24_HUMAN,RBM24
TPSNR_HUMAN,TAPBPL
FANCJ_HUMAN,BRIP1
SRBS1_HUMAN,SORBS1
JAM3_HUMAN,JAM3
HINT2_HUMAN,HINT2
BTBD2_HUMAN,BTBD2
TM2D1_HUMAN,TM2D1
STRA6_HUMAN,STRA6
TRPM6_HUMAN,TRPM6
SGPP1_HUMAN,SGPP1
PLVAP_HUMAN,PLVAP
SUCR1_HUMAN,SUCNR1
TSSK6_HUMAN,TSSK6
TSSK1_HUMAN,TSSK1B
LGR4_HUMAN,LGR4
OSB11_HUMAN,OSBPL11
OSB10_HUMAN,OSBPL10
HCAR1_HUMAN,HCAR1
BBS2_HUMAN,BBS2
NPL_HUMAN,NPL
CECR2_HUMAN,CECR2
RFIP5_HUMAN,RAB11FIP5
TEKT3_HUMAN,TEKT3
BBC3_HUMAN,BBC3
5NT1A_HUMAN,NT5C1A
TB10A_HUMAN,TBC1D10A
C1QT6_HUMAN,C1QTNF6
C1QT5_HUMAN,C1QTNF5
C1QT1_HUMAN,C1QTNF1
C1QT4_HUMAN,C1QTNF4
C1QT3_HUMAN,C1QTNF3
C1QT2_HUMAN,C1QTNF2
AMNLS_HUMAN,AMN
TACAN_HUMAN,TMEM120A
NAA15_HUMAN,NAA15
B2L13_HUMAN,BCL2L13
CAR14_HUMAN,CARD14
CAR11_HUMAN,CARD11
CDCA4_HUMAN,CDCA4
PRAX_HUMAN,PRX
PINK1_HUMAN,PINK1
ASPN_HUMAN,ASPN
CLC7A_HUMAN,CLEC7A
S12A9_HUMAN,SLC12A9
SRRT_HUMAN,SRRT
PAPP2_HUMAN,PAPPA2
TGT_HUMAN,QTRT1
TLR10_HUMAN,TLR10
FHR5_HUMAN,CFHR5
COPA1_HUMAN,COL25A1
IDI2_HUMAN,IDI2
TMM59_HUMAN,TMEM59
AP1M1_HUMAN,AP1M1
NUSAP_HUMAN,NUSAP1
S26A6_HUMAN,SLC26A6
TDRD1_HUMAN,TDRD1
TEX15_HUMAN,TEX15
M10L1_HUMAN,MOV10L1
RNF17_HUMAN,RNF17
TEX12_HUMAN,TEX12
STK31_HUMAN,STK31
UBP26_HUMAN,USP26
CABP8_HUMAN,CALN1
GON7_HUMAN,GON7
MLP3C_HUMAN,MAP1LC3C
OSBL1_HUMAN,OSBPL1A
FACD2_HUMAN,FANCD2
EMIL2_HUMAN,EMILIN2
RSPO3_HUMAN,RSPO3
BEX2_HUMAN,BEX2
S4A5_HUMAN,SLC4A5
EBPL_HUMAN,EBPL
PACN1_HUMAN,PACSIN1
SCAPE_HUMAN,SCAPER
TX101_HUMAN,TEX101
AGRE3_HUMAN,ADGRE3
DGC6L_HUMAN,DGCR6L
ITPA_HUMAN,ITPA
HDAC8_HUMAN,HDAC8
RTF2_HUMAN,RTF2
CHM4A_HUMAN,CHMP4A
EIF2A_HUMAN,EIF2A
PECR_HUMAN,PECR
SC11C_HUMAN,SEC11C
UDB28_HUMAN,UGT2B28
KDM5D_HUMAN,KDM5D
CADM1_HUMAN,CADM1
ANGL4_HUMAN,ANGPTL4
PDIP3_HUMAN,POLDIP3
RNF26_HUMAN,RNF26
MFRP_HUMAN,MFRP
DUS16_HUMAN,DUSP16
FUT8_HUMAN,FUT8
CNFN_HUMAN,CNFN
HES7_HUMAN,HES7
TMPSD_HUMAN,TMPRSS13
LCE3D_HUMAN,LCE3D
PCGF6_HUMAN,PCGF6
CDHR2_HUMAN,CDHR2
ACE2_HUMAN,ACE2
B3GN5_HUMAN,B3GNT5
MK67I_HUMAN,NIFK
PAR6G_HUMAN,PARD6G
PAR6B_HUMAN,PARD6B
GSDMC_HUMAN,GSDMC
SE6L1_HUMAN,SEZ6L
IKBZ_HUMAN,NFKBIZ
HYCCI_HUMAN,FAM126A
LOXE3_HUMAN,ALOXE3
TRI34_HUMAN,TRIM34
YTHD1_HUMAN,YTHDF1
HELZ2_HUMAN,HELZ2
HOIL1_HUMAN,RBCK1
SRXN1_HUMAN,SRXN1
ZN341_HUMAN,ZNF341
WNK3_HUMAN,WNK3
KR171_HUMAN,KRTAP17
KRA99_HUMAN,KRTAP9
KRA98_HUMAN,KRTAP9
KRA94_HUMAN,KRTAP9
KRA93_HUMAN,KRTAP9
KRA92_HUMAN,KRTAP9
KRA46_HUMAN,KRTAP4
KR411_HUMAN,KRTAP4
KRA41_HUMAN,KRTAP4
KRA49_HUMAN,KRTAP4
KRA47_HUMAN,KRTAP4
KRA45_HUMAN,KRTAP4
KRA44_HUMAN,KRTAP4
KRA43_HUMAN,KRTAP4
KRA42_HUMAN,KRTAP4
KRA33_HUMAN,KRTAP3
KRA32_HUMAN,KRTAP3
KRA31_HUMAN,KRTAP3
KRA24_HUMAN,KRTAP2
KRA15_HUMAN,KRTAP1
S17A9_HUMAN,SLC17A9
STK33_HUMAN,STK33
NEUL_HUMAN,NLN
ANO3_HUMAN,ANO3
PBX4_HUMAN,PBX4
AGT2_HUMAN,AGXT2
TRI54_HUMAN,TRIM54
TRI55_HUMAN,TRIM55
BCDO2_HUMAN,BCO2
CEP41_HUMAN,CEP41
BACH2_HUMAN,BACH2
GTR11_HUMAN,SLC2A11
SETD2_HUMAN,SETD2
DB126_HUMAN,DEFB126
TBD2A_HUMAN,TBC1D2
IFIH1_HUMAN,IFIH1
LDH6B_HUMAN,LDHAL6B
RHBT2_HUMAN,RHOBTB2
REG4_HUMAN,REG4
ADA33_HUMAN,ADAM33
PANK2_HUMAN,PANK2
DOCK9_HUMAN,DOCK9
FRMD8_HUMAN,FRMD8
PITM3_HUMAN,PITPNM3
PITM2_HUMAN,PITPNM2
NSD3_HUMAN,NSD3
PC11X_HUMAN,PCDH11X
PC11Y_HUMAN,PCDH11Y
CPEB1_HUMAN,CPEB1
CELF4_HUMAN,CELF4
ABCA2_HUMAN,ABCA2
S29A3_HUMAN,SLC29A3
NUF2_HUMAN,NUF2
TMG4_HUMAN,PRRG4
GLIS2_HUMAN,GLIS2
PUS3_HUMAN,PUS3
GTPB4_HUMAN,GTPBP4
ASPC1_HUMAN,ASPSCR1
OSBL8_HUMAN,OSBPL8
OSBL7_HUMAN,OSBPL7
OSBL6_HUMAN,OSBPL6
UACA_HUMAN,UACA
RAB34_HUMAN,RAB34
PPAT_HUMAN,ACP4
DPH1_HUMAN,DPH1
WDR11_HUMAN,WDR11
REN3B_HUMAN,UPF3B
CRNL1_HUMAN,CRNKL1
TRYD_HUMAN,TPSD1
GPR62_HUMAN,GPR62
GPR61_HUMAN,GPR61
TBL1R_HUMAN,TBL1XR1
UBL5_HUMAN,UBL5
SMIM3_HUMAN,SMIM3
PP12C_HUMAN,PPP1R12C
KPCD2_HUMAN,PRKD2
PG12A_HUMAN,PLA2G12A
PA2GF_HUMAN,PLA2G2F
GSX2_HUMAN,GSX2
ULBP3_HUMAN,ULBP3
ULBP2_HUMAN,ULBP2
ULBP1_HUMAN,ULBP1
CHIA_HUMAN,CHIA
SHP1L_HUMAN,SHCBP1L
NMNA2_HUMAN,NMNAT2
EDEM3_HUMAN,EDEM3
NIBA1_HUMAN,NIBAN1
RTN4R_HUMAN,RTN4R
B2L14_HUMAN,BCL2L14
TRIM8_HUMAN,TRIM8
FOXP3_HUMAN,FOXP3
UBXN6_HUMAN,UBXN6
S19A3_HUMAN,SLC19A3
IMPG2_HUMAN,IMPG2
TM6S2_HUMAN,TM6SF2
TSG10_HUMAN,TSGA10
CD244_HUMAN,CD244
UCK2_HUMAN,UCK2
ROP1B_HUMAN,ROPN1B
TRI31_HUMAN,TRIM31
SN_HUMAN,SIGLEC1
API5_HUMAN,API5
NLRP1_HUMAN,NLRP1
SPY4_HUMAN,SPRY4
DPY30_HUMAN,DPY30
TRI15_HUMAN,TRIM15
TRIM9_HUMAN,TRIM9
TRIM7_HUMAN,TRIM7
TRIM6_HUMAN,TRIM6
TRIM5_HUMAN,TRIM5
TRIM4_HUMAN,TRIM4
TRIM2_HUMAN,TRIM2
NKX62_HUMAN,NKX6
IN80B_HUMAN,INO80B
GRB1L_HUMAN,GREB1L
SPEF2_HUMAN,SPEF2
DCLK3_HUMAN,DCLK3
CNTP4_HUMAN,CNTNAP4
ZFHX2_HUMAN,ZFHX2
SETD5_HUMAN,SETD5
UNK_HUMAN,UNK
FTO_HUMAN,FTO
ZDHC5_HUMAN,ZDHHC5
TB182_HUMAN,TNKS1BP1
SEM4C_HUMAN,SEMA4C
CIPC_HUMAN,CIPC
AMRA1_HUMAN,AMBRA1
UBE2O_HUMAN,UBE2O
