proteinID,geneID
DNM1L_HUMAN,DNM1L
RTCA_HUMAN,RTCA
P3C2A_HUMAN,PIK3C2A
PLK4_HUMAN,PLK4
SYT5_HUMAN,SYT5
GFRA2_HUMAN,GFRA2
LST1_HUMAN,LST1
P85B_HUMAN,PIK3R2
GOLI4_HUMAN,GOLIM4
MANBA_HUMAN,MANBA
TRAF5_HUMAN,TRAF5
AGRIN_HUMAN,AGRN
PLOD2_HUMAN,PLOD2
MEIS1_HUMAN,MEIS1
EXOC5_HUMAN,EXOC5
ELL2_HUMAN,ELL2
NPT4_HUMAN,SLC17A3
BT3A3_HUMAN,BTN3A3
BT3A1_HUMAN,BTN3A1
NR5A2_HUMAN,NR5A2
NDUA4_HUMAN,NDUFA4
PSDE_HUMAN,PSMD14
ZN593_HUMAN,ZNF593
BIN1_HUMAN,BIN1
CLD5_HUMAN,CLDN5
IMA4_HUMAN,KPNA3
STK25_HUMAN,STK25
USP9Y_HUMAN,USP9Y
BCL9_HUMAN,BCL9
FAAH1_HUMAN,FAAH
KRIT1_HUMAN,KRIT1
UPK2_HUMAN,UPK2
NCHL1_HUMAN,CHL1
PESC_HUMAN,PES1
DLL1_HUMAN,DLL1
CAC1A_HUMAN,CACNA1A
RCAS1_HUMAN,EBAG9
SDCB1_HUMAN,SDCBP
PITM1_HUMAN,PITPNM1
MPP10_HUMAN,MPHOSPH10
NOP56_HUMAN,NOP56
DDX3X_HUMAN,DDX3X
CXCR6_HUMAN,CXCR6
RNT2_HUMAN,RNASET2
CCL21_HUMAN,CCL21
MFNG_HUMAN,MFNG
ACKR2_HUMAN,ACKR2
GBRP_HUMAN,GABRP
PODXL_HUMAN,PODXL
FCN1_HUMAN,FCN1
CCN1_HUMAN,CCN1
PEX12_HUMAN,PEX12
PIR_HUMAN,PIR
CCL22_HUMAN,CCL22
PEX7_HUMAN,PEX7
IMA3_HUMAN,KPNA4
SARCO_HUMAN,SLN
TRI38_HUMAN,TRIM38
NFIB_HUMAN,NFIB
E2F3_HUMAN,E2F3
PPP6_HUMAN,PPP6C
WN10B_HUMAN,WNT10B
NDKM_HUMAN,NME4
EST2_HUMAN,CES2
P3C2B_HUMAN,PIK3C2B
MA2B1_HUMAN,MAN2B1
WNT7A_HUMAN,WNT7A
F16P2_HUMAN,FBP2
UBE2C_HUMAN,UBE2C
ACACB_HUMAN,ACACB
PDXK_HUMAN,PDXK
SCD_HUMAN,SCD
DLGP1_HUMAN,DLGAP1
CLD4_HUMAN,CLDN4
PLPP1_HUMAN,PLPP1
PLPP3_HUMAN,PLPP3
ARI1A_HUMAN,ARID1A
BHE40_HUMAN,BHLHE40
SOCS2_HUMAN,SOCS2
NRG2_HUMAN,NRG2
SOCS7_HUMAN,SOCS7
AGRB1_HUMAN,ADGRB1
CDKA1_HUMAN,CDK2AP1
AQP7_HUMAN,AQP7
DHSD_HUMAN,SDHD
PTPRT_HUMAN,PTPRT
C2C2L_HUMAN,C2CD2L
NEMP1_HUMAN,NEMP1
ASTN1_HUMAN,ASTN1
FCHO1_HUMAN,FCHO1
CUX2_HUMAN,CUX2
TXND9_HUMAN,TXNDC9
DPYL4_HUMAN,DPYSL4
SOCS3_HUMAN,SOCS3
SOCS6_HUMAN,SOCS6
G3PT_HUMAN,GAPDHS
HSPB6_HUMAN,HSPB6
RHG33_HUMAN,ARHGAP33
ACPM_HUMAN,NDUFAB1
C56D2_HUMAN,CYB561D2
DC1I1_HUMAN,DYNC1I1
CTRO_HUMAN,CIT
COPE_HUMAN,COPE
RFXK_HUMAN,RFXANK
NCAN_HUMAN,NCAN
CTDS2_HUMAN,CTDSP2
UTY_HUMAN,UTY
GBGT2_HUMAN,GNGT2
BORG1_HUMAN,CDC42EP2
AP3D1_HUMAN,AP3D1
CCS_HUMAN,CCS
CXL11_HUMAN,CXCL11
CDX4_HUMAN,CDX4
ZN195_HUMAN,ZNF195
LCE2B_HUMAN,LCE2B
ENPP3_HUMAN,ENPP3
ABLM1_HUMAN,ABLIM1
DVL1_HUMAN,DVL1
DVL2_HUMAN,DVL2
IDLC_HUMAN,DNALI1
CHD1_HUMAN,CHD1
CHD2_HUMAN,CHD2
KCNK3_HUMAN,KCNK3
GOSR2_HUMAN,GOSR2
IRS4_HUMAN,IRS4
TOR1A_HUMAN,TOR1A
TOR1B_HUMAN,TOR1B
STX16_HUMAN,STX16
TMG2_HUMAN,PRRG2
ADA10_HUMAN,ADAM10
ABCD4_HUMAN,ABCD4
EI24_HUMAN,EI24
ENC1_HUMAN,ENC1
PTGES_HUMAN,PTGES
KMT2D_HUMAN,KMT2D
ITBP1_HUMAN,ITGB1BP1
TRDMT_HUMAN,TRDMT1
APAF_HUMAN,APAF1
RIOK3_HUMAN,RIOK3
IMPA2_HUMAN,IMPA2
MP2K7_HUMAN,MAP2K7
ACOT8_HUMAN,ACOT8
CDIPT_HUMAN,CDIPT
PDCD5_HUMAN,PDCD5
ANM5_HUMAN,PRMT5
NHRF1_HUMAN,SLC9A3R1
TERT_HUMAN,TERT
